date,produced,mining.value,destroyed
2019-03-31,5785492443157.617,2204023817684.5176,1480657801330.24
2019-04-01,4964054398438.801,1642430644244.5513,1071073251070.0
2019-04-02,4942587945816.595,1632507583871.6794,1128798869691.0
2019-04-03,4224029020478.138,1861197383630.0002,1048666115697.66
2019-04-04,4521502225495.83,1680619407286.8784,942139031023.51
2019-04-05,4750172007944.837,1749541065031.673,1891731720169.97
2019-04-06,4929536911751.073,1752703510885.7722,1926433903461.15
2019-04-07,6035848440226.557,1992812284835.6707,1597767251407.65
2019-04-08,5194854796021.425,1617625750689.4363,973902779746.39
2019-04-09,4695288733444.767,1601975552105.934,1138772382471.96
2019-04-10,4736712145870.958,1369121221104.5889,1020108576906.84
2019-04-11,5293290237796.342,1386367343436.7366,975859509874.01
2019-04-12,4506991301689.812,1349939911502.6997,1292971318665.31
2019-04-13,4926083309491.201,1544380098149.3577,1835863019173.6
2019-04-14,4831995576720.793,1503112135738.779,1802950613560.45
2019-04-15,4987296274638.996,1443096816030.7754,848649403006.97
2019-04-16,4721411466212.821,1303967730851.7314,955870604299.46
2019-04-17,4700258105682.865,1387133372625.9167,1055740373582.22
2019-04-18,4708684915816.277,1421966949491.1355,1003591886799.23
2019-04-19,4649231862365.588,1489544244558.7603,1159020021403.93
2019-04-20,4685751354998.072,1700252071266.2979,1691402061284.29
2019-04-21,4777406215749.904,1648078406533.8257,1246327780972.11
2019-04-22,4423458525433.524,1488984513374.764,1152429199986.13
2019-04-23,4235151268116.363,1448768994942.0269,915577961245.2
2019-04-24,4541511355366.056,1483616775768.244,1268679963817.4
2019-04-25,4458834639787.729,1421836493817.2046,835554904011.27
2019-04-26,4255108644874.2993,1437103291189.66,1017411707591.67
2019-04-27,4957326366105.554,1605911928180.8147,1455647200475.61
2019-04-28,4872757827940.919,1529959476694.4812,1428270405789.08
2019-04-29,4012806347186.2686,1471472334031.2153,904452523374.37
2019-04-30,4435295532986.897,1407042011713.0747,976732232761.66
2019-05-01,4961272666975.071,1516235497533.2263,1051016319417.56
2019-05-02,4488658094547.935,1535638236018.8691,1091166589511.83
2019-05-03,3963783351808.4014,1348649656518.3271,1231261296215.37
2019-05-04,4718095990419.606,1570138564642.8594,1695223754240.45
2019-05-05,4755212725617.869,1678439842684.65,1419662607073.56
2019-05-06,4936822641862.774,1420794379311.684,1047438531034.44
2019-05-07,4148922359124.5,1345574433234.673,1147709783103.32
2019-05-08,4499300117878.386,1464561523146.65,990714844774.06
2019-05-09,4217733016325.2812,1402784339049.716,952474529814.44
2019-05-10,3700397929227.48,1432548481680.8567,1293335812154.39
2019-05-11,4398247445983.13,1510343723861.943,1875802023674.86
2019-05-12,5119597709954.464,1443712109764.6548,1342782413626.09
2019-05-13,4301627379790.196,1390332528481.54,942760402147.23
2019-05-14,4325741238967.7524,1300675104410.034,952460118077.64
2019-05-15,4158047900553.432,1407529011383.4727,975959375746.99
2019-05-16,4318306794843.7407,1463241305742.8643,971719071333.19
2019-05-17,4591650440844.646,1574019214479.5015,1124979272421.07
2019-05-18,4876917597919.836,1615447394807.098,1716885252466.59
2019-05-19,5102055026293.713,1238819367768.7952,1774455336461.85
2019-05-20,4685507476270.8955,1202360165312.9229,897264931219.42
2019-05-21,4595587032059.762,1099492054061.8336,1036247506400.44
2019-05-22,3798044012951.6494,1264875525859.1506,950170268247.74
2019-05-23,4060065682658.4365,1180848695328.712,892852908090.15
2019-05-24,3624924737937.4697,1303576303113.8018,1087698841372.61
2019-05-25,4364722287964.7,1369775397008.317,1658014834704.04
2019-05-26,4467895579105.497,1269516984443.578,1805139339886.42
2019-05-27,4335443050080.598,1229758887202.1826,1181791621938.34
2019-05-28,4191556115491.387,1046222830529.7108,1074413516835.79
2019-05-29,4137091978502.9727,1279957100992.736,1170382902002.17
2019-05-30,4078066857265.778,1282951764498.6965,1092744557969.86
2019-05-31,5255742988393.039,1069901809729.4141,1709811633928.07
2019-06-01,4473116126887.573,1282121657546.462,1960217753786.76
2019-06-02,4675552737283.354,1333451485787.1982,1632666758260.16
2019-06-03,4734905743507.244,1128269079212.0676,1022606988034.64
2019-06-04,4472789401605.055,1267091133376.1125,1188415328441.2
2019-06-05,3994798458014.6504,1147847131409.5098,1159849182592.77
2019-06-06,4561369775712.473,1042873016946.127,882186259542.14
2019-06-07,4417127076365.612,1252024230601.3123,1094250080775.94
2019-06-08,4307993114608.699,1223889780673.457,1481426900652.26
2019-06-09,4361516019839.1475,1143461936884.6262,1653884440441.4
2019-06-10,4396657636501.3486,1231579002742.5303,960970836591.67
2019-06-11,4091286622398.159,1048342202230.4011,1531950569381.1
2019-06-12,4209927421379.7314,1014760172511.7438,1358635988419.05
2019-06-13,3894103642968.3794,1101613454573.9053,866954006395.72
2019-06-14,4254032502299.075,1128152636585.957,1101122790834.21
2019-06-15,4152280835882.1665,1173256471342.7764,1435364741552.76
2019-06-16,4497493769453.493,1151994127798.4119,1540386512785.91
2019-06-17,4180507836136.329,1093157058322.492,982275005751.25
2019-06-18,4161274694507.606,1064461273205.7185,1113007281525.48
2019-06-19,3776352051676.758,984725145071.9587,1091391894108.15
2019-06-20,4119128850973.5005,1071991627481.3698,991813759825.75
2019-06-21,3867731520002.062,989943434588.6686,1107288206882.04
2019-06-22,3725744482887.0957,1049887303277.8792,1744334301888.03
2019-06-23,3750258232050.867,1166689986934.4585,1497864808578.46
2019-06-24,3720661684502.939,1015412759702.6299,895201638839.2
2019-06-25,3663156677537.1187,1114608334321.279,1063302883522.31
2019-06-26,4271167561350.1,1194355472161.101,1063833732560.08
2019-06-27,3573753093319.659,1204810267959.1057,915637443510.54
2019-06-28,4322511817603.382,1188815220767.181,1089132821806.97
2019-06-29,4594514314841.267,1502431757405.7012,1766505549563.26
2019-06-30,4353982413936.234,2800827845960.4595,1434108399758.43
2019-07-01,4172055776788.992,2227313785616.51,983853748673.99
2019-07-02,3657328577926.8833,2650621252788.4985,953438007251.14
2019-07-03,3542715722748.1064,2055040038368.5493,1090844074113.85
2019-07-04,3757585798018.0137,1913204793255.1887,1331299491830.31
2019-07-05,3494949926548.843,2421942451168.639,1238067963352.28
2019-07-06,4577712767637.177,2846329647148.9043,1783058253259.55
2019-07-07,3719535771412.428,3082106154138.028,1493187977151.83
2019-07-08,4211448190226.4873,1866908771749.761,1086736365687.1
2019-07-09,3573776004332.1343,1976484910645.5532,1161702252108.2
2019-07-10,3383634219191.492,2443660178460.6143,855613094966.92
2019-07-11,3547874411806.1025,2150963304817.1655,920279282509.89
2019-07-12,3904306490338.101,1061089571295.234,1259069686138.77
2019-07-13,4024195723026.0674,1454391902222.9128,1884358580248.23
2019-07-14,4248345868953.8765,3195784871417.2593,1729906425226.51
2019-07-15,3316905145261.7773,1426838604873.8613,1075802295145.35
2019-07-16,3483216450825.241,1382437265971.6948,1101887985956.87
2019-07-17,3343452425266.749,1726050903608.1294,1076750347770.91
2019-07-18,3135513935237.9644,2675150836754.882,1002764463687.03
2019-07-19,3512987361577.341,1723089632885.7063,1059581551917.25
2019-07-20,3512046671613.6343,1856416197275.6504,1732965670918.63
2019-07-21,3883432276137.9526,1474792339783.6035,1560033765340.28
2019-07-22,3423260680864.613,1496586700038.0737,1277611540484.97
2019-07-23,3505625703334.418,1596854374049.3792,1606226720356.08
2019-07-24,3192363665331.7554,1234287642632.5251,1127207029087.33
2019-07-25,2993464719741.201,1090215441163.239,1067771543148.1
2019-07-26,3300009548951.474,1345767889769.2742,1384657691490.85
2019-07-27,3713817456695.8325,1513286643141.5156,1634459803079.79
2019-07-28,4293684276611.4087,1908695745674.407,1893555942018.37
2019-07-29,3807497846336.4033,1060900084993.8969,1221229495578.17
2019-07-30,3792004061769.0293,1064809104321.3701,1172650986779.89
2019-07-31,3304288399407.8423,922495538497.5625,1466035815813.82
2019-08-01,3726579880584.733,886957232193.2748,979570082620.6
2019-08-02,3845239417520.4604,813388063134.6045,1001923818679.69
2019-08-03,3596418267655.4375,1045083410166.4667,1630512178135.43
2019-08-04,3781523065175.395,979829367441.013,1914449086430.09
2019-08-05,3765925802709.871,944153324568.5969,1097594344899.66
